,EN,EA,1st IE,2nd IE,3rd IE,X,D,M,AR,CR,IR,t (AR) 100%,u (IR) 100%,OS,HF (exp),HF (cal),S,HV,Ef (q=0) eV,Ef (q=+1) eV,CT
Sc,0.694,0.169,0.893,0.875,0.812,0.798,0.408,0.379,1.269,1.021,0.631,0.977,0.339,1.5,2.966,2.860,2.613,1.097,0.730,-0.550,1.280
Y,0.622,0.276,0.847,0.836,0.673,0.772,0.612,0.749,1.462,1.149,0.763,0.893,0.409,1.5,3.215,3.327,1.373,1.310,0.990,-0.570,1.560
Ti,0.786,0.071,0.930,0.928,0.901,0.817,0.617,0.403,1.214,0.965,0.513,1.004,0.275,2.0,1.598,2.413,2.396,1.466,-0.467,-0.776,0.310
Zr,0.679,0.383,0.903,0.900,0.754,0.835,0.891,0.768,1.421,1.050,0.610,0.910,0.327,2.0,2.032,2.607,1.281,2.000,0.940,-0.370,1.310
As,1.112,0.727,1.336,1.274,0.929,1.256,0.783,0.631,0.786,0.844,0.492,1.275,0.264,1.5,0.304,0.926,1.512,0.112,-0.050,-0.510,0.460
Sb,1.046,0.962,1.177,1.130,0.829,1.149,0.916,1.026,0.917,0.979,0.644,1.178,0.345,1.5,0.501,1.220,0.954,0.234,0.530,-0.230,0.760
Bi,1.031,0.850,0.992,1.140,0.831,0.973,1.338,1.760,0.986,1.035,0.873,1.132,0.468,1.5,0.785,1.445,0.562,0.552,0.060,-0.400,0.460
Al,0.821,0.396,0.787,1.287,0.933,0.735,0.369,0.227,0.814,0.837,0.453,1.253,0.243,1.5,1.612,2.026,4.166,1.010,0.658,-0.417,1.075
Ca,0.510,0.022,0.832,0.811,1.669,0.726,0.212,0.338,1.338,1.234,0.847,0.945,0.455,1.0,3.728,4.071,2.908,0.534,-0.040,0.230,-0.270
Ga,0.923,0.269,0.817,1.402,1.007,0.745,0.808,0.587,0.938,0.894,0.525,1.163,0.282,1.5,1.137,1.833,1.710,0.883,0.565,-0.030,0.595
In,0.908,0.269,0.788,1.290,0.919,0.720,1.000,0.967,1.076,1.021,0.678,1.078,0.364,1.5,1.006,1.959,1.074,0.793,0.120,-0.280,0.400
Mn,0.791,-0.466,1.012,1.069,1.104,0.879,1.022,0.463,1.110,0.986,0.703,1.058,0.377,1.0,1.113,2.921,2.207,0.759,0.090,0.400,-0.310
Nb,0.816,0.802,0.920,0.977,0.821,0.905,1.172,0.783,1.366,0.972,0.542,0.933,0.291,2.5,1.121,2.003,1.221,2.379,-0.220,-0.520,0.300
Mo,1.102,0.670,0.966,1.105,0.890,0.927,1.406,0.808,1.310,1.028,0.669,0.957,0.359,3.0,0.660,1.849,1.157,2.069,0.559,0.095,0.464
Zn,0.842,-0.541,1.279,1.228,1.302,1.111,0.977,0.551,0.979,0.929,0.627,1.136,0.336,1.0,1.429,1.907,1.788,0.410,-0.210,0.110,-0.320
V,0.832,0.472,0.919,1.002,0.962,0.860,0.836,0.429,1.179,0.887,0.492,1.021,0.264,2.0,1.030,2.774,2.253,1.562,-0.070,0.250,-0.320
Cr,0.847,0.599,0.921,1.127,1.015,0.879,0.984,0.438,1.145,0.901,0.521,1.039,0.280,1.5,1.042,2.544,2.065,1.169,-0.293,0.007,-0.300
Cu,0.969,1.103,1.052,1.387,1.208,1.059,1.226,0.535,1.000,0.979,0.619,1.123,0.332,1.0,0.497,1.643,1.771,1.034,0.480,0.676,-0.623
W,1.204,0.733,1.087,1.204,0.853,1.040,2.633,1.549,1.331,1.035,0.508,0.948,0.273,3.0,0.505,0.886,0.608,2.759,0.870,0.640,0.230
Ag,0.985,1.171,1.032,1.466,1.142,1.050,1.435,0.909,1.138,1.085,0.975,1.043,0.523,0.5,0.644,1.560,1.083,0.879,0.308,0.914,-0.606
Au,1.296,2.076,1.256,1.402,0.982,1.364,2.640,1.659,1.200,1.021,0.720,1.011,0.386,1.5,0.352,1.286,0.595,1.138,-0.234,0.393,-0.627
Mg,0.668,-0.373,1.041,1.028,2.627,0.904,0.238,0.205,1.000,0.922,0.610,1.123,0.327,1.0,2.571,2.816,4.700,0.441,-0.138,0.178,-0.316
Pd,1.122,0.500,1.135,1.325,1.080,1.052,1.645,0.896,1.166,0.929,0.729,1.028,0.391,1.0,0.439,1.427,1.106,0.614,-0.059,0.828,-0.887
Cd,0.862,-0.634,1.225,1.156,1.229,1.064,1.183,0.947,1.110,1.050,0.521,1.058,0.280,1.5,1.167,2.127,1.060,0.345,-0.027,0.596,-0.306
Ge,1.026,1.109,1.075,1.089,1.122,1.080,0.728,0.612,0.862,0.865,0.619,1.217,0.332,1.0,0.913,1.787,1.481,1.152,-0.149,0.028,-0.177